"","Observed","95 CI","lower","upper"
"1","1.89","0-4.48","0","4.48"
"2","3.74","0.14-7.33","0.14","7.33"
"3","2.2","0-5.21","0","5.21"
"4","2.35","0-5.58","0","5.58"
"5","3.06","0-6.47","0","6.47"
"6","2.5","0-5.92","0","5.92"
"7","6","1.35-10.65","1.35","10.65"
"8","2.63","0-5.57","0","5.57"
"9","0","0-0","0","0"
"10","2.65","0-5.62","0","5.62"
"11","0.88","0-2.61","0","2.61"
"12","1.96","0-4.65","0","4.65"
"13","0.97","0-2.86","0","2.86"
"14","7.59","1.75-13.44","1.75","13.44"
"15","2.3","0-5.45","0","5.45"
"16","3.48","0.13-6.83","0.13","6.83"
"17","11.49","4.79-18.2","4.79","18.2"
"18","0","0-0","0","0"
"19","0","0-0","0","0"
"20","1.08","0-3.17","0","3.17"
"21","9.52","3.91-15.14","3.91","15.14"
"22","2.97","0-6.28","0","6.28"
"23","5.22","1.15-9.28","1.15","9.28"
"24","1.01","0-2.98","0","2.98"
"25","0","0-0","0","0"
"26","1.75","0-4.16","0","4.16"
"27","0","0-0","0","0"
"28","3.77","0.15-7.4","0.15","7.4"
"29","3.66","0-7.72","0","7.72"
"30","1.16","0-3.43","0","3.43"
"31","0","0-0","0","0"
"32","0","0-0","0","0"
"33","1","0-2.95","0","2.95"
"34","11.88","5.57-18.19","5.57","18.19"
"35","2.25","0-5.33","0","5.33"
"36","0","0-0","0","0"
"37","1.92","0-4.56","0","4.56"
"38","1.06","0-3.14","0","3.14"
"39","4.04","0.16-7.92","0.16","7.92"
"40","0.92","0-2.71","0","2.71"
"41","2.25","0-5.33","0","5.33"
"42","1.82","0-4.32","0","4.32"
"43","0","0-0","0","0"
"44","0.85","0-2.52","0","2.52"
