"","hospital","mean_pred","lower.ci","upper.ci"
"1",1,2.99,0.59,5.08
"2",2,2.56,0.63,5
"3",3,2.47,-0.5,4.83
"4",4,3.04,0.96,4.45
"5",5,2.88,0.6,4.74
"6",6,2.82,0.57,4.77
"7",7,2.68,0.81,4.42
"8",8,2.49,0.42,5.27
"9",9,2.38,0.35,4.42
"10",10,2.59,0.51,4.75
"11",11,2.56,0.2,4.84
"12",12,2.58,0.84,4.63
"13",13,2.72,0.47,4.36
"14",14,2.94,0.78,4.82
"15",15,2.4,0.48,3.87
"16",16,3.06,0.74,5.55
"17",17,2.51,0.4,5.07
"18",18,2.06,0.2,4.86
"19",19,2.75,0.57,4.77
"20",20,2.74,0.97,4.92
"21",21,3.28,0.94,5.32
"22",22,2.53,0.34,5.6
"23",23,2.74,0.09,4.13
"24",24,2.86,0.54,4.39
"25",25,2.19,0.17,4.48
"26",26,3.01,0.05,5.22
"27",27,2.76,0.58,4.99
"28",28,2.58,0.36,4.83
"29",29,2.47,0.58,3.88
"30",30,NA,NA,NA
"31",31,2.87,0.87,4.27
"32",32,2.76,0.41,4.37
"33",33,2.35,-0.17,5.2
"34",34,2.69,0.13,4.83
"35",35,2.76,0.26,5.55
"36",36,2.12,-0.03,4.57
"37",37,2.2,-0.07,5.16
"38",38,2.46,0.3,4.71
"39",39,2.78,0.34,5.53
"40",40,2.05,-0.25,4.46
"41",41,2.57,0.79,4.7
"42",42,2.77,-0.4,5.28
"43",43,2.71,0.61,4.61
"44",44,2.2,0.39,4.4
