"","hospital","mean_pred","lower.ci","upper.ci"
"1",1,2.97,2.71,3.24
"2",2,2.38,2.17,2.6
"3",3,2.44,2.19,2.66
"4",4,3.06,2.76,3.33
"5",5,2.83,2.57,3.08
"6",6,2.96,2.68,3.23
"7",7,2.7,2.48,2.94
"8",8,2.48,2.27,2.72
"9",9,2.35,2.15,2.56
"10",10,2.41,2.19,2.58
"11",11,2.43,2.21,2.68
"12",12,2.5,2.27,2.76
"13",13,2.89,2.68,3.15
"14",14,3.19,2.93,3.47
"15",15,2.24,2.04,2.46
"16",16,2.89,2.65,3.11
"17",17,2.15,1.91,2.35
"18",18,2.11,1.91,2.36
"19",19,2.79,2.54,3.03
"20",20,2.63,2.39,2.86
"21",21,3.06,2.74,3.33
"22",22,2.17,1.96,2.39
"23",23,2.8,2.56,3.11
"24",24,2.89,2.66,3.15
"25",25,2.11,1.89,2.31
"26",26,2.97,2.67,3.29
"27",27,2.84,2.64,3.04
"28",28,2.52,2.3,2.73
"29",29,2.56,2.38,2.74
"30",30,NA,NA,NA
"31",31,2.69,2.42,2.95
"32",32,2.92,2.65,3.17
"33",33,2.38,2.17,2.57
"34",34,2.63,2.42,2.87
"35",35,2.55,2.35,2.8
"36",36,1.98,1.77,2.18
"37",37,2,1.77,2.22
"38",38,2.21,2.01,2.41
"39",39,2.75,2.53,3.03
"40",40,2.14,1.98,2.32
"41",41,2.43,2.24,2.64
"42",42,2.57,2.3,2.82
"43",43,2.75,2.49,2.98
"44",44,2.14,1.95,2.33
